Unnamed: 0,author,comment,translated_comment
26,ricki_re,@wong_heloss25 nguyoh ae 2000 kok ngasi parkir 1000????????,@wong_heloss25 kenapa bayar 1000 untuk parkir 2000????????
27,zuaruddin,"@gustavianooo dijak maju gk gelem, ngko e-parking wes jalan gnti komen ""mbok yo ngne ket biyen"" ??","@gustavianooo saya disuruh maju, saya tidak mau berangkat, kenapa e-parking berfungsi malah ada komentar ""mungkin Anda pernah ke sini sebelumnya""??"
28,ricardo_kneff,@riyanatkinson biasane emg gt mas.. yaa siapa tau ponorogo mau buat terobosan bayare pake Qris ????,@riyanatkinson biasanya bagus banget gan.. siapa tau Ponorogo membuat gebrakan dengan menggunakan Qris????
29,gustavianooo,@zuaruddin gak bakal ?? penak langsung ngewehi sewu panggahan,@zuaruddin bukan?? mudahnya memberikan seribu postingan
30,wildanhikmawan_,"Berdasarkan Keputusan Gubernur Jawa Timur Nomor 188/889/KPTS/013/2022 tentang Upah Minimum Kabupaten/Kota Di Jawa Timur Tahun 2023 Upah Minimum Kabupaten Ponorogo Tahun 2023 Rp.2.149.709,45 . TAPI AKEH BAYARAN SG SAK NGISORE IKU, TAPI BIAYA HIDUP E NG PONOROGO JAN TENAN. FASILITAS SIH APIK, TAPI YO IKU, PENDAPATAN MASYARAKAT E BEN ISO MUNGGAH IKU KUDU DI WEHI SOLUSI SEK. AKU MOCO ENEK KOMEN SG KECEPETEN 10 TAHUN. AKU SETUJU IKU. INARAT KATA NE. BUTA MAP.????","Berdasarkan Keputusan Gubernur Jawa Timur Nomor 188/889/KPTS/013/2022 tentang Upah Minimum Kabupaten/Kota di Jawa Timur Tahun 2023 Upah Minimum Kabupaten Ponorogo Tahun 2023 sebesar Rp2.149.709,45. TAPI BANYAK PEMBAYARAN SG DI BAWAH ITU, TAPI BIAYA HIDUP SANGAT LAYAK. FASILITASNYA BAIK, TAPI PENDAPATAN MASYARAKAT DI BEN ISO HARUS DITINGKATKAN DENGAN SOLUSI. SAYA INGIN KOMENTAR DI SG SELAMA 10 TAHUN. SAYA SETUJU DENGAN ITU. INARAT KATA NE. BUTAKAN PETA.????"
31,wildanhikmawan_,@gustavianooo setujuu,@gustavianooo saya setuju
32,inutee.fey,"SETUJU POLL MIN, ben pak* tukang parkir i ogak sak kuarepe dw . tandang wegah bayar 2000 . jane ra sepiro sih tapi lek nyatane kendaraan e awakdewe ra diamankan ki ngwei duit parkir ki yo marai mangkel","SAYA SETUJU DENGAN MIN POLL, ben pak* tukang parkirnya oke dengan apa yang anda inginkan. enggan membayar 2000. Entah berapa harganya, tapi faktanya kendaraan Anda diamankan sehingga bisa membayar parkir."
33,dhikakwardani,@frida_jemprit nggih leres setuju aku,@frida_jemprit Saya setuju dengan Anda
34,denyamalia,Mening Iki min..jelas piro2 ne tarife la MSO diweii Sewu lambene mecocong AE ??,Mening Iki min..sudah jelas berapa tarif MSO kalau seribu bibir cocok AE??
35,off_acc0unt2,1 arah tapi sempit #ponorogo hebat,1 arah tapi sempit #ponorogo mantap
36,riyanatkinson,"@ricardo_kneff oh iya ada yg pake Qris juga di Jakarta, semoga aja di ponorogo bisa pake Qris juga??","@ricardo_kneff oh iya di Jakarta ada yang pakai Qris juga, semoga di Ponorogo bisa pakai Qris juga??"
37,ramangabdulazis,"?? wong"" i SDM rendah kok gawe ngonokan ?? @gilangpratama551 Iki contohe","?? orang"" saya mempunyai sumber daya manusia yang rendah kenapa kamu melakukan itu?? @gilangpratama551 Ini contohnya"
38,cntrmo,@ricardo_kneff ngangge diamond mas,@ricardo_kneff adalah mas berlian
39,ricardo_kneff,@booh_wah masookk????,@booh_wah masookk????
40,teguh_prasetyo188,Sing dek mben nggremeng parkir larang.kui lo ws di kabulne ben reti nek parkir gur sewu.,Yang komplain parkirnya mahal.
41,zahira_belva,"@frida_jemprit pernah tak kasih 1rb koin minta lagi sambil ngomel2,, ini masih lumayan belum tua.biasa kalo tukang parkir tua malah tak kasih lebih.","@frida_jemprit tidak pernah memberi saya 1.000.000 koin, memohon lebih sambil bergumam,, ini masih terbilang muda. Wajar jika tukang parkir yang sudah tua tidak memberi lebih."
42,ifthon._,bagus lah .. positif ...,itu bagus.. positif...
43,friska.ioo,Parkir neng etan alon² ki maeng dijaluki 2000 sik'an min.. ??,Parkir di tengah jalan lambat dan minta 2000 sik'an min..??
44,alirahmanta,Taman tengah jalan sangat mengganggu di tambah bahu jalan buat parkir jalan terwagu,Parkir di tengah jalan sangat mengganggu selain bahu jalan untuk parkir di jalan Terwagu
45,dimsro,"Salfok karo tulisan : PARKIR BUKAN PENITIPAN , trus nk motore ilang karcis parkire gratis","Salfok dengan tulisan : PARKIR BUKAN PENYIMPANAN, dan bila kehilangan sepeda motor mendapat tiket parkir gratis"
46,shinta_anf,@wildanhikmawan_ iyo yaa mba. Di tuntut serba bisa tapi gaji guyonan. Di tuntut serba canggih. Tapi yang kaya makin raya. Yang miskin makin menderita. UMR aja ga di imbangkan. Gaji pas pasan. Bener ncen mending capek kerja daripada capek cari kerja. Tapi yo mengkis dua nek kerja dengan gaji dibawah ratarata. Semangat pejuang rupiah????,"@wildanhikmawan_ iya bu. Dituntut bisa apa saja tapi gajinya main-main. Canggih dalam permintaan. Tapi orang kaya semakin besar. Masyarakat miskin semakin menderita. UMR tidak seimbang. Gaji yang bagus. Lebih baik lelah bekerja daripada lelah mencari pekerjaan. Namun jika Anda bekerja dengan gaji di bawah rata-rata, sayang sekali. Semangat pejuang rupiah????"
47,roufyasmien13,"Bagus ini,, menghindari adanya parkir liar bayar liar","Ini bagus, hindari parkir liar"
48,andry.agustya,Bayar bisa pake cash bisa pake e-money kedepannya itu..,Anda dapat membayar dengan uang tunai atau uang elektronik di masa depan..
49,srikaya_mas,Setuju????,Setuju????
50,erda_kc,Up,Ke atas
51,ricardo_kneff,bayare pake opo min?? tf opo pake emoney?,kamu bayar apa padaku?? apakah kamu menggunakan uang?
52,ambonzxz,Payung ngarepe smp6 kae iso nganti dicem,Payung depan kelas 6 bisa dipakai sampai habis
53,jalanpulangq,Digaji rakyat difasilitasi mewah oleh rakyat.maka bekerjalah melayani rakyat. permudahlah urusan rakyat dg kemampuan yg dimiliki.dg tehnologi yg semakin canggih.sesuaikan lah gaji dan fasilitas yg para pejabat nikmati dg memberi kan kemudahan fasilitas rakyat secara mudah dan  adil bagi semua,"Dibayar rakyat, difasilitasi mewah oleh rakyat, lalu bekerja untuk melayani rakyat. memudahkan urusan rakyat dengan keterampilan yang dimilikinya. dengan teknologi yang semakin canggih, sesuaikan gaji dan fasilitas yang dinikmati para pejabat dengan memberikan fasilitas rakyat secara mudah dan adil bagi semua"
54,saidrosyadii,Sipp mulai maju ??,Sipp mulai maju??
55,zumaroqoirul,@ricardo_kneff jajal admine @ponorogo.update moro gawe video singkat pembayaran e parking . ben kabeh ruh .??,@ricardo_kneff sedang mencari admin @ponorogo.update untuk membuat video singkat tentang pembayaran parkir. ben semua jiwa.??
56,gek__eva,,Di Sini
57,ponorogo.update,@akangzuma ?? siap,@akangzuma?? siap
58,chynsd_,"Sisan pak dalane raya didandani, terutama kecamatan² pelosok","Sisa jalan lainnya sedang diperbaiki, terutama di daerah terpencil"
59,adibaskome,"Seumpama itu mertamu masuk gang dan parkirnya didepan toko, apa harus ada biaya parkir ?","Jika tamu masuk gang dan parkir di depan toko, apakah harus dikenakan biaya parkir?"
60,gustavianooo,Aneh aneh ae. Genah SDM e sek koyok ngene og ???? kecepeten 10 taun,Itu aneh. Kenyamanan HR-nya seperti ini ???? cepat 10 tahun
61,mrluckym4n,?? Panggah Mawut,?? Pang Mawut
62,frida_jemprit,"Alhamdullilah ponorogo mulai maju ,, mending seperti ini soalnya saya sering di kasih uang 2000 tidak di kasih kembalian",Alhamdulillah Ponorogo mulai maju.
63,justt.ndyy,"@adibaskome kalo pake motor mending di bawa masuk gang ae, kalo pake mobil ya itu resikonya parkir diliat gang ??","@adibaskome kalau pakai motor sebaiknya bawa masuk gang, kalau pakai mobil apakah ada resiko parkir di gang??"
64,yoestiagustina,Yuk bisa yuuk,Ayo lakukan
65,bayu_fikri_,"@ricardo_kneff ketok e gawe kartu sih, koyo mlebu nek tol","@ricardo_kneff kayaknya bikin kartu, kaya masuk tol"
66,bayu_fikri_,"@gustavianooo jajal sek ae mas, kan mengko kenek dikaji meneh cocok opo orane metode parkir ngono iku","@gustavianooo nanti aku coba gan, nanti aku lihat cocok atau ada cara parkirnya seperti itu"
67,agungyuliyantonugroho,Sip...buat ngurangi pungli,Sip...buatnya kurang pungli
68,naawae_80,"halahh paling engko yo waleh, gek mbalik parkir biasa neh ??????","hahaha, setidaknya nanti, kenapa tidak kembali ke tempat parkir biasa??????"
69,infoponorogo,@ramangabdulazis wealah nah ngono digenahne??,@ramangabdulazis ada apa??
70,agushd_pg,@as37s7 gae latihan lurr.. Bn iso mumpuni sdm e,@ as37s7 tidak ada pelatihan
71,anjar_ao,@infoponorogo huahuahuahahahaha??,@infoponorogo huahuahuahahaha??
72,r.mas_sai,"Parkir e ojo neng pinggir ndalan, tengah"" sisan gek dipalang ne ngunu ae genio??","Jangan parkir di pinggir jalan, di tengah jalan."
73,infoponorogo,@r.mas_sai lah lah lah??,@r.mas_sai lah lah lah lah??
74,infoponorogo,@naawae_80 lhadalaaah??,@naawae_80 haha
75,infoponorogo,@agush_zheng nah hehe??????,@agush_zheng hehe??????
76,infoponorogo,@anjar_ao ????????????,@anjar_ao ????????????
77,infoponorogo,@alditawalida06_ kenal karo sing ndi??,@alditawalida06_ tahukah kamu siapa??
78,r.mas_sai,"@infoponorogo wong mlio boro kok usel""n motor mobil sak wong"" e??",@infoponorogo kenapa gak pakai motor?
79,jedar_jedor,genah eeee min sg parkir mbayar piro...mudengku koq angel menn????,Nyaman bagi saya untuk membayar berapa parkir...kenapa sulit sekali bagi saya????
80,dikadap_,Ape parkir e dadak di ruet barang??,Apakah Anda tiba-tiba parkir di jalur kargo??
81,rapi.itsunana,@sangaji_w4 parkir e mbayar nopo mboten pak,@sangaji_w4 bayar parkirnya pak
82,dwiprakoso76,@zazux_yeye setujuuuuu.hilangkan tukang parkir,@zazux_yeye setuju. singkirkan tukang parkirnya
83,road1nashwalk,Kesuwen ky pom gak kui ngko riii @nuret800,Saya minta maaf karena Anda tidak ada di sini @nuret800
84,ganalprayogo,@ramaakukuh jan ndak umom mas wkwkwk,@ramaakukuh Saya tidak tampil di depan umum
85,muhammad.kamilin,@infoponorogo slidikono min duite melbu nng ndi kae ??,@infoponorogo slidikono uangnya dari mana??
86,baguzfernanda,E-warteg gk enek to min ??,E-warteg tidak baik untuk saya??
87,sa_muel6236,Terus nek arep mbayar angsuran harian piye bos.... Nek wis ngono kui...,Dan kalau mau cicil hariannya gimana bos.... Kalau begitu...
88,infoponorogo,@r.mas_sai ??piye ta kih,@r.mas_sai ??bagaimana kamu tahu?
89,infoponorogo,@baguzfernanda byuuuh giniya?? kene apa enek lho eneme padang??,@baguzfernanda byuuuu seperti ini?? Apa yang kamu lakukan di sini?
90,infoponorogo,@sa_muel6236 lhaaaa??,@sa_muel6236 ya??
91,infoponorogo,@jedar_jedor sik aku urung parkir??,@jedar_jedor kenapa saya tidak bisa parkir??
92,zazux_yeye,@ shodaqoh ng masjid ae maton. Drpd shodaqoh tp grundel. Mslhnya brg gk oleh pakek parkir maton. Prayo malih grundel????,@shodaqoh ng masjid ae maton. Drpd shodaqoh tp kasar. Masalahnya bukan karena garasi parkirnya. Apakah kamu marah-marah lagi????
93,zazux_yeye,@ jane yo ngono karepku. Wong yo asline gk onok gunane. Parkir yo mapakne dw. Pas arep ngalih jaluk duit.,"@ jane, itu yang aku inginkan. Manusia benar-benar tidak berguna. Parkir baik-baik saja. Kalau mau ganti, minta uang."
94,dwiprakoso76,@zazux_yeye setujuuuu,@zazux_yeye setuju
95,anggamango,"Ruwet""... Kudune cah"" nom sing neng nduwur ki iso ngerteni kondisi masyarakat ponorogo nek kok terapne ngono kui iso mlaku pora.. Ojo gur golek rai dengan ide"" sing malah gawe ruwet... TULUNG OJO GOLEK RAI @infoponorogo","Rumit..Pemuda di atas seharusnya bisa memahami kondisi masyarakat Ponorogo, kenapa mereka bersikap seperti itu padahal bisa berlarian."
96,fatria_asmara_,"Tetep kudu cak cek, ben ga kesuwen nunggu ??","Masih harus dicek gan, capek nunggunya??"
97,agustk21,Tukang Parkir sing ra enek karcise 2k trus ra gelem noto ruh ruh nagih auto ketar ketir,Tukang parkir yang tidak mau tiket 2k lalu menolak menagih mobil
98,ajmln,"Penting gelem natakne motor, iso2 ngewei kerdus ben gak kepanasen motor e. Nek gur moro2 nagih duit tok gak gelem natakne motor, yo enak temen kerjone.","Penting untuk mau menghidupkan motor, agar motor tidak kepanasan. Jika Anda tidak ingin mengendarai sepeda motor jika Anda meminta uang, senang bekerja sama dengan Anda."
99,zazux_yeye,@dwiprakoso76 trus complain ng sopo ngene ki jal.... ??????,@dwiprakoso76 lalu mengeluh tentang siapa dirimu....??????
100,_dianelss,Panggon e hospot ae buk ku bingong iki kok ndadak scan2 barang to minnn??,"Dimana hostnya, kenapa tiba-tiba scan itemnya??"
101,ronaldandreass,Kesuen selak macet,Bosan terjebak
102,muhamd.maghfur,@zazux_yeye mugo2 alat e-parkir kui iso di setting (parkir kurang dari 10 menit gratis)...kejadian koyo awakmu ben ora terulang,@zazux_yeye silakan gunakan alat e-parking jika Anda bisa mengaturnya (parkir gratis kurang dari 10 menit)...itu tidak akan terjadi lagi
103,teberagil,Ksuwen??,Ksuwen??
104,alvuadu,Ayok mas @gibran_rakabuming solo digae ngunu,Jangan biarkan @gibran_rakabuming melakukannya sendirian
105,defernandaa_,@zufaraa malih dadi selebgram ngene tibake,@zufaraa kembali menjadi selebgram pada musim gugur ini
106,harymatika,"Juru parkir sing meresahkan yoiku bayar 2 ribu gak disusuki, bayar sewu gak diseberangne. Sakjane aturan parkir terbaru piro ya?",Tukang parkir yang khawatir adalah dia membayar 2 ribu dan tidak membayar 1.000. Apa aturan parkir terbaru?
107,maya.mitha,"Halah, dalan ombo"" Digae sak arah mbasan wes sak arah mek gae parkerr.. Marai macet tok ??","Halah, jalan Ombo"" Gak boleh parkir searah jalan."
108,dimasroby,"Mari iki tuku rokok utilan gae aplikasi, golek pangan wes angel, lakon dadak di ngel ngel , raine parkir wae dadak uthek hp, gathel po py","Ayo beli rokok pakai aplikasi susah cari makan, susah cari makan, susah cari tempat parkir, susah cari hp"
109,ajisetyowidodo,Mlebu toilet di gekne E-ngising,Pergi ke toilet di E-gekne
110,ervhaa17,Mempersulit tukang parkir yg sdh sepuh??,Bikin susah tukang parkir yang sudah lanjut usia??
111,dickymaulana_mtwk,"Aku datang tidak ada ,aku pergi ada - ""kang parkir""","Saya datang ke sana bukan di sana, saya pergi dari sana - ""tempat parkir"""
112,info_skandal.selebgram,"kesuwen, dulung i 2 ewu e gek langsung cus","Maaf, pertama saya mendapat 2.000"
113,pakcikpower15,"Pokok aku padamu pak/bu semerintah, arep digawe pie ae sing  ngene"" iki ttep bakalan manot ??","Saya beritahu pak/bu semerinta, saya ingin membuat kue seperti ini, apakah enak??"
114,erda_kc,Siji d kon ngno... Liane do ngaleh...,Satu hal yang salah... Yang lainnya adalah...
115,khapika_chu,@zazux_yeye poneh montor dipapane ora agek didelehne wes diparani tukang parkir nyebrangne yo ora.. biangeten,"@zazux_yeye letakkan mobil di depan, tidak mudah melihat tukang parkir melintasinya."
116,zazux_yeye,"@ haha.. Kandani kok. Kdg maune  gk onok wayah arep ngalih muncul tiba""????","@ haha.. Katakan alasannya. Saatnya bergerak, saatnya bergerak.""????"
117,zazux_yeye,"@muhamaghfur yo mugo"" ae. La nk minimal 10mnit ngono yo gpopo.bareng 5mnit ae msok yo kon byr parkir. Malah ng surya bayar parkir ng kasir. Hdeh..","@muhamaghfur ""iya"" iya. Maunya minimal 10 menit seperti itu gopopo. Setelah 5 menit, saya harus bayar parkir. Bahkan Surya bayar parkir di kasir."
118,hary.kurni4,"Setujjuuuu polll ,,,drpada baku hantam trus kro tukang parkir,,pas teko g enek sg nyambut pas arep muleh tukang parkir pdo kruyuk² teko kyo laronn","Setujjuuuu polll,,,dari awal memukul tukang parkir,,saat pulang kerja, tukang parkir pdo kruyuk² kyo kyo laronn"
119,ramangabdulazis,Ribet cuk,Ini rumit
120,dimasak_,"@infoponorogo krungu krungu pasar lanang iku ameh digae parkiran mobil ngono min, jane cocok lo kui",@infoponorogo Saya dengar pasar anak itu mau dijadikan tempat parkir mobil
121,infoponorogo,@zazux_yeye wah iya sih tapi piye ya kak? Bingungne terah?? gawa kanca wae kak kon nek motor??,"@zazux_yeye, ya, tapi bagaimana dengan Anda? Apakah kamu bingung?? ajak teman saja kalau mau naik sepeda??"
122,infoponorogo,@hana_kuifei ndaraku ya ngono ??,@hana_kuifei aku seperti itu??
123,infoponorogo,@iwan_charisma sing durung kulina??,@iwan_charisma siapa yang belum belajar??
124,infoponorogo,@hary.kurni4 meresahkan piye lur? ??,@hary.kurni4 apakah kamu khawatir? ??
125,infoponorogo,@harry_hore watduuuh lha piye penake kak??,@harry_hore ada apa?
126,infoponorogo,@ramaakukuh lah lah laaaah kok ya tekan konoooo nele piye ta kih??,@ramaakukuh kenapa kamu datang ke sini?
127,infoponorogo,"@ramangabdulazis sing durung kulina paling, penak biasa apa e parking? ??","@ramangabdulazis siapa yang belum pakai, biasanya cara parkirnya gimana? ??"
128,infoponorogo,@hary.kurni4 wkwkwkwk masa tau arep baku hantam??????,@hary.kurni4 wkwkwkwk kapan mau turun ke tanah??????
129,gendondjadoel,Lho emang yg bener begitu.. Semua parkir harus ada karcisnya.. Selama ini kalian dapat Karcis nggak pas parkir??? Lha itu duit gelap semua,Saya tahu itu kenyataannya.. Semua parkir pasti ada tilangnya.. Selama ini anda ditilang parkir? Itu semua uang gelap
130,infoponorogo,@gendondjadoel waah ini baru??????????,@gendondjadoel wow apakah ini baru??????????
131,ramangabdulazis,@infoponorogo pakku tuek min hpne 3315 gawene ngopi Ng kno ??,@infoponorogo gan hp saya 3315 kenapa mau minum??
132,zazux_yeye,La aq Karo anakq lo bos. Pdhl ankq numpak ng motor. Mlh ng surya byr parkir e ng kasir. Hdeh.. Parah.,Aku bersamamu bos. Pdhl ankq naik sepeda motor. Cuaca cerah dan parkir di kasir. Ugh.. Buruk.
133,ziyamlabela,Suwen selak mlayu liyane ??,Berapa lama untuk berjalan lagi??
134,infoponorogo,@zazux_yeye wah ?? wealah zuzah nek ngono,@zazux_yeye ya?? sayang sekali kalau begitu
135,infoponorogo,@dimasak_ wealah jare arep dadi taman terus Mall Pelayanan Public terus arep dadi parkiran malahan saiki??????lika liku pasar lanang,@dimasak_ wealah katanya bakalan jadi taman terus Mal Pelayanan Publik malah jadi tempat parkir??????
136,infoponorogo,@ramangabdulazis wealah sih ngendi nek ngopi???? ya karo kowe apa ora?,@ramangabdulazis mau minum dimana???? ya denganmu atau tidak?
137,infoponorogo,@ziyamlabela nek pama mlayu dhisik ngono piye? ??,@ziyamlabela bagaimana jika lari duluan? ??
138,ramangabdulazis,@infoponorogo Ijen gawene losss ??,@infoponorogo Ijen rugiss??
139,muhammad.kamilin,"Terus tugase kui ngko nyapo min, wes enek e-parking kok sek dilibatkan ?","Lalu tugasnya bertanya kepada Anda, mengapa Anda ingin e-parking dimasukkan?"
140,adilaarp,sangat memudahkan sekali bagi orang² yang cashless,sangat mudah bagi orang-orang yang cashless
141,infoponorogo,@adilaarp weh ngono ya kak????,@adilaarp begitukah gan????
142,infoponorogo,@muhammad.kamilin lha iku ngoperasikan alate iku sing dicekel iku lho paling ??,"@muhammad.kamilin, dialah yang mengoperasikan alat itu, dialah yang memegangnya ya??"
143,infoponorogo,@ramangabdulazis weh piye ta pak e ditokne dhewe??,@ramangabdulazis bagaimana cara mendapatkannya sendiri??
144,ulya_nur_r22,"Wong arep muleh e kok dadak antri , , tuku besin e antrine ws koyo emboh tambai kui neh","Orang mau pulang, kenapa tiba-tiba antri?"
145,melisadwi.a,@_noveliayy piye pek?,@_noveliayy apa kabar kalian?
146,infoponorogo,@ulya_nur_r22 sing tenang kak??,@ulya_nur_r22 siapa yang tenang gan??
147,infoponorogo,@melisadwi.a piye kak penak sing ndi????,@melisadwi.a apa kabarnya????
148,mast_echooooooo,Mbayangne ae ... Nek metu barang² seng teko bareng² ???? tukang parkir e kiro² polah e piye ????,Dapatkah Anda bayangkan... Jika Anda pergi keluar bersama-sama???? bagaimana kabar petugas parkir?
149,lksworo,@bagassnugrh nyekel parkir daerah ngendi mas?,@bagassnugrh dimana parkir regionalnya?
150,mast_echooooooo,@dimasak_  umpama blonjone neng kono mas...geg gowoo mobil... Trus parkir ngendi ????,@dimasak_ kayanya yang gede itu ada gan..mobilnya apa..trus parkirnya dimana????
151,alfian.ahmd,Kesuen . . . Butue ndang di geret pak ndang di sebrangne selak okeh sing ngantri gaeyanmu akeh Noto motor harang ??,"Kebosanan. . . Butu diderek pak, di seberang jalan banyak yg nungguin motornya."
152,zufaraa,@ramaakukuh beh kaget,@ramaakukuh saya terkejut
153,zazux_yeye,aq eling ngono pegel ae bos. Wes susu gk oleh malah kelangan bayar parkir kono kene??,"Saya ingat itu menjengkelkan, bos. Mengapa Anda bahkan tidak membayar parkir?"
154,tambur_ae,Gek arp d atur pye enh hemmm..,Gek arp d atur kaki enh hemmmm..
155,infoponorogo,@mast_echooooooo lhadalaaah?? mall pelayanan dudu mall blanjan??,@mast_echooooooooo lhaladaaah?? pusat layanan bukan pusat perbelanjaan??
156,infoponorogo,@alfian.ahmd ????????penak sing ndi jane kih??,@alfian.ahmd ????????
157,infoponorogo,@mast_echooooooo waduh??????,@mast_echooooooooo wow??????
158,infoponorogo,@tambur_ae dijajal paling ??,@tambur_ae paling banyak diuji??
159,muhammad.kamilin,@infoponorogo ??. Siji ae min lek iso samsat kae gratis parkir e,@infoponorogo??. Satu hal adalah ada parkir gratis
160,ramangabdulazis,@infoponorogo ak Nang Jepang min,@infoponorogo ak Di Jepang min
161,bayusimex,Gae scan QR code QRIS wae mbayar e ????,Bisakah Anda memindai kode QR QRIS untuk membayar?
162,_noveliay,@melisadwi oke deh rpp onok kemajuan????,"@melisadwi oke, bagaimana perkembangannya????"
163,anjar_ao,"Team mlipir nyimak sek , menowo isek enek celah ????","Tim mendengarkannya, tahukah Anda jika ada celah????"
164,infoponorogo,"@zazux_yeye iya sih aku ya tau og golek barang ndak oleh, ya kudu shodaqoh ?? sing sabar kak ben lancar rejekine..","@zazux_yeye ya, saya tahu cara menemukan hal-hal yang tidak dapat saya temukan, apakah saya harus membagikannya?? siapa yang sabar akan mendapat rejeki.."
165,infoponorogo,@bayusimex watduuuuh ngono ya malahan??,@bayusimex watduuuuh benarkah??
166,infoponorogo,@anjar_ao sik tos sik ??,@anjar_ao apa kabar??
167,infoponorogo,@muhammad.kamilin wah piye carane kuwi sing zuzah??,@muhammad.kamilin wow gimana zuzahnya??
168,nadarulhuda_suluhagama,"Sek...sek.... Kalau alesane ribet oke lah masuk akal, tp nek penghasilan menurun kok aneh ya. Kan maleh .............","Dek...det.... Kalau alasannya rumit, masuk akal, tapi kalau penghasilannya berkurang, kenapa aneh? Tidak apa-apa............."
169,pfs_007,@infoponorogo Biasane...nek uji coba iku bakale lanjut. Evaluasi hanya formalitas.. ?????? Negri Konoha biasane ngunu.,@infoponorogo Biasanya...sidang akan dilanjutkan. Evaluasi hanya sekedar formalitas..?????? Negara Konoha biasanya sedih.
170,reelfaiz,"Penak e-parkir. Pengalamanku bayar sesuai aturan malah kenek plilikan mripate tukang parkir, ngono ngueece karo ngguyu..arep taat aturan susyah tenan.??","Kenyamanan parkir elektronik. Pengalaman saya adalah membayar sesuai aturan, bahkan ketika tukang parkir menatap saya."
171,infoponorogo,@rezaelfaiz lhaaa??,@rezaelfaiz ya??
172,infoponorogo,@al_wildd hmm??????hehe pokok ora jotos jotosan??,@al_wildd hmm??????hehe pohon tidak meledak??
