no,author,comment,Sentiment_Score,Sentiment_Category,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated
29,gustavianooo,@zuaruddin gak bakal ?? penak langsung ngewehi sewu panggahan,-12,Negative,namsor_api_2.0.30,LATIN,b73d6a48-ccb9-4b50-83a0-0412952549ee,gustavianooo,male,-0.381472308,4.375463172,0.690736154
30,wildanhikmawan ,"Berdasarkan Keputusan Gubernur Jawa Timur Nomor 188/889/KPTS/013/2022 tentang Upah Minimum Kabupaten/Kota Di Jawa Timur Tahun 2023 Upah Minimum Kabupaten Ponorogo Tahun 2023 Rp.2.149.709,45 . TAPI AKEH BAYARAN SG SAK NGISORE IKU, TAPI BIAYA HIDUP E NG PONOROGO JAN TENAN. FASILITAS SIH APIK, TAPI YO IKU, PENDAPATAN MASYARAKAT E BEN ISO MUNGGAH IKU KUDU DI WEHI SOLUSI SEK. AKU MOCO ENEK KOMEN SG KECEPETEN 10 TAHUN. AKU SETUJU IKU. INARAT KATA NE. BUTA MAP.????",0,Neutral,namsor_api_2.0.30,LATIN,75fbd90d-6bd4-4f4b-a163-7e8a6a5cbaec,wildanhikmawan ,male,-0.372161057,3.537772533,0.686080529
31,wildanhikmawan ,@gustavianooo setujuu,-6,Negative,namsor_api_2.0.30,LATIN,649574f5-0895-4c23-baec-2ef1de7d1149,wildanhikmawan ,male,-0.372161057,3.537772533,0.686080529
32,inutee fey,"SETUJU POLL MIN, ben pak* tukang parkir i ogak sak kuarepe dw . tandang wegah bayar 2000 . jane ra sepiro sih tapi lek nyatane kendaraan e awakdewe ra diamankan ki ngwei duit parkir ki yo marai mangkel",1,Positive,namsor_api_2.0.30,LATIN,bb326443-aabd-48aa-98ce-312cc8863804,inutee fey,female,0.062857561,0.590788585,0.53142878
33,dhikakwardani,@frida_jemprit nggih leres setuju aku,0,Neutral,namsor_api_2.0.30,LATIN,4f7aebfe-e23d-494b-89c4-b8cc5b418c96,dhikakwardani,male,-0.070558383,0.956339702,0.535279192
34,denyamalia,Mening Iki min..jelas piro2 ne tarife la MSO diweii Sewu lambene mecocong AE ??,-7,Negative,namsor_api_2.0.30,LATIN,b0b0d82b-6169-4540-a5ff-42721f398177,denyamalia,female,0.160691059,1.46433474,0.58034553
35,off acc0unt ,1 arah tapi sempit ponorogo hebat,1,Positive,namsor_api_2.0.30,LATIN,f478554b-de4f-4d8a-b9d4-ed2c88e82619,off acc0unt ,male,-0.636011802,6.879160975,0.818005901
36,riyanatkinson,"@ricardo_kneff oh iya ada yg pake Qris juga di Jakarta, semoga aja di ponorogo bisa pake Qris juga??",-4,Negative,namsor_api_2.0.30,LATIN,3fff955d-1f3a-43e0-8b4f-e7a0ba399a63,riyanatkinson,male,-0.354070652,3.128929976,0.677035326
37,ramangabdulazis,"?? wong"" i SDM rendah kok gawe ngonokan ?? @gilangpratama551 Iki contohe",3,Positive,namsor_api_2.0.30,LATIN,f45c49cd-1ad8-4af8-8e7d-d124ce953904,ramangabdulazis,male,-0.336565729,2.864406296,0.668282864
38,cntrmo,@ricardo_kneff ngangge diamond mas,0,Neutral,namsor_api_2.0.30,LATIN,c4872180-a3b9-40f1-b0ee-a017f6a8ec8a,cntrmo,male,-0.234317413,1.841678355,0.617158706
39,ricardo kneff,@booh_wah masookk????,7,Positive,namsor_api_2.0.30,LATIN,42664c8d-a94e-4a36-9dcf-8715c07482ff,ricardo kneff,male,-0.805942792,8.309316538,0.902971396
40,teguh prasetyo   ,Sing dek mben nggremeng parkir larang.kui lo ws di kabulne ben reti nek parkir gur sewu.,-4,Negative,namsor_api_2.0.30,LATIN,3385c815-8db7-4b53-aacd-a85361e85b6d,teguh prasetyo   ,male,-0.535811014,6.316500965,0.767905507
41,zahira belva,"@frida_jemprit pernah tak kasih 1rb koin minta lagi sambil ngomel2,, ini masih lumayan belum tua.biasa kalo tukang parkir tua malah tak kasih lebih.",2,Positive,namsor_api_2.0.30,LATIN,9d5e86f1-dbdd-467f-a5e0-9e7e45fddbb7,zahira belva,female,0.891976464,9.461405514,0.945988232
42,ifthon  ,bagus lah .. positif ...,5,Positive,namsor_api_2.0.30,LATIN,f0a374ac-dc75-4945-8644-df40a1e4320c,ifthon  ,male,-0.348153864,3.029219462,0.674076932
43,friska ioo,Parkir neng etan alon² ki maeng dijaluki 2000 sik'an min.. ??,2,Positive,namsor_api_2.0.30,LATIN,26841232-94e1-4be5-9daa-b0136cd60dcb,friska ioo,female,0.572519875,6.513628913,0.786259937
44,alirahmanta,Taman tengah jalan sangat mengganggu di tambah bahu jalan buat parkir jalan terwagu,0,Neutral,namsor_api_2.0.30,LATIN,1e4b9b71-ad31-4774-a707-cf938b521c30,alirahmanta,female,0.209403283,1.671775715,0.604701642
45,dimsro,"Salfok karo tulisan : PARKIR BUKAN PENITIPAN , trus nk motore ilang karcis parkire gratis",-10,Negative,namsor_api_2.0.30,LATIN,4cf173b7-d9e9-449e-af32-368e4621f7c6,dimsro,male,-0.373286975,3.609888882,0.686643487
46,shinta anf,@wildanhikmawan_ iyo yaa mba. Di tuntut serba bisa tapi gaji guyonan. Di tuntut serba canggih. Tapi yang kaya makin raya. Yang miskin makin menderita. UMR aja ga di imbangkan. Gaji pas pasan. Bener ncen mending capek kerja daripada capek cari kerja. Tapi yo mengkis dua nek kerja dengan gaji dibawah ratarata. Semangat pejuang rupiah????,-3,Negative,namsor_api_2.0.30,LATIN,db1e791b-ea1f-417e-9669-d45c99e24391,shinta anf,female,0.5314451,6.277076579,0.76572255
47,roufyasmien  ,"Bagus ini,, menghindari adanya parkir liar bayar liar",0,Neutral,namsor_api_2.0.30,LATIN,8356c818-2d7f-4190-bbfa-b18d19ed16ae,roufyasmien  ,male,-0.375721831,3.785094204,0.687860915
48,andry agustya,Bayar bisa pake cash bisa pake e-money kedepannya itu..,1,Positive,namsor_api_2.0.30,LATIN,bc3ca49a-e6f9-40ae-9ed1-92752f60f3df,andry agustya,male,-0.375429274,3.762430388,0.687714637
49,srikaya mas,Setuju????,0,Neutral,namsor_api_2.0.30,LATIN,06be7d7c-62e7-4d86-8e0a-e64bc55339a4,srikaya mas,female,0.143373453,1.396736059,0.571686727
50,erda kc,Up,0,Neutral,namsor_api_2.0.30,LATIN,9414240e-4cec-4d5e-a934-c102281e150d,erda kc,female,0.435238332,5.503229161,0.717619166
51,ricardo kneff,bayare pake opo min?? tf opo pake emoney?,0,Neutral,namsor_api_2.0.30,LATIN,88eac4e1-e3c3-4b2a-a6a2-8aa6693a898c,ricardo kneff,male,-0.805942792,8.309316538,0.902971396
52,ambonzxz,Payung ngarepe smp6 kae iso nganti dicem,5,Positive,namsor_api_2.0.30,LATIN,231a5edb-80d8-4d69-94fe-6f10b0382b06,ambonzxz,male,-0.153432292,1.435657845,0.576716146
53,jalanpulangq,Digaji rakyat difasilitasi mewah oleh rakyat.maka bekerjalah melayani rakyat. permudahlah urusan rakyat dg kemampuan yg dimiliki.dg tehnologi yg semakin canggih.sesuaikan lah gaji dan fasilitas yg para pejabat nikmati dg memberi kan kemudahan fasilitas rakyat secara mudah dan  adil bagi semua,0,Neutral,namsor_api_2.0.30,LATIN,d3aea445-314b-4685-9671-945faf2fa368,jalanpulangq,male,-0.290658878,2.424780749,0.645329439
54,saidrosyadii,Sipp mulai maju ??,-9,Negative,namsor_api_2.0.30,LATIN,7a45aa27-7293-4d7c-8bb5-fff94aaf024c,saidrosyadii,male,-0.072222734,1.042999032,0.536111367
55,zumaroqoirul,@ricardo_kneff jajal admine @ponorogo.update moro gawe video singkat pembayaran e parking . ben kabeh ruh .??,0,Neutral,namsor_api_2.0.30,LATIN,8acc4ab7-00b8-4064-8fcc-d896ab9d879b,zumaroqoirul,male,-0.308505133,2.57650573,0.654252566
56,gek  eva,,-3,Negative,namsor_api_2.0.30,LATIN,d312989d-d848-42de-ba85-37ede9f6de8a,gek  eva,female,0.309171436,2.582568572,0.654585718
57,ponorogo update,@akangzuma ?? siap,-6,Negative,namsor_api_2.0.30,LATIN,d164edf8-75f9-4b7f-9339-a35772d0f3a5,ponorogo update,male,-0.37191999,3.522950244,0.685959995
58,chynsd ,"Sisan pak dalane raya didandani, terutama kecamatan² pelosok",-9,Negative,namsor_api_2.0.30,LATIN,f77f86d6-ad33-4e95-95fc-b491ff4b3b0b,chynsd ,male,-0.270209937,2.238125123,0.635104968
59,adibaskome,"Seumpama itu mertamu masuk gang dan parkirnya didepan toko, apa harus ada biaya parkir ?",0,Neutral,namsor_api_2.0.30,LATIN,490d4c5d-e20f-404d-9b71-9e23dfefc8b5,adibaskome,male,-0.073545045,1.114495651,0.536772522
60,gustavianooo,Aneh aneh ae. Genah SDM e sek koyok ngene og ???? kecepeten 10 taun,1,Positive,namsor_api_2.0.30,LATIN,8b431d37-0975-435f-bf13-8b236f646625,gustavianooo,male,-0.381472308,4.375463172,0.690736154
61,mrluckym n,?? Panggah Mawut,-8,Negative,namsor_api_2.0.30,LATIN,350982b7-1131-441e-9564-90f21cc24294,mrluckym n,male,-0.073388915,1.105920637,0.536694458
62,frida jemprit,"Alhamdullilah ponorogo mulai maju ,, mending seperti ini soalnya saya sering di kasih uang 2000 tidak di kasih kembalian",8,Positive,namsor_api_2.0.30,LATIN,edc48f43-2b69-4022-a05f-c3410b94a4c7,frida jemprit,female,0.487838281,5.950353019,0.74391914
63,justt ndyy,"@adibaskome kalo pake motor mending di bawa masuk gang ae, kalo pake mobil ya itu resikonya parkir diliat gang ??",0,Neutral,namsor_api_2.0.30,LATIN,5af130eb-d7fe-4946-939b-bf65a4e1c9ac,justt ndyy,male,-0.057585823,0.362201066,0.528792912
64,yoestiagustina,Yuk bisa yuuk,-6,Negative,namsor_api_2.0.30,LATIN,8772c8ac-0750-4446-8c41-7e6f6b320e33,yoestiagustina,female,0.144117654,1.399584352,0.572058827
65,bayu fikri ,"@ricardo_kneff ketok e gawe kartu sih, koyo mlebu nek tol",0,Neutral,namsor_api_2.0.30,LATIN,c2f36ead-a223-42bf-be39-4135db2f8b92,bayu fikri ,male,-0.433605206,5.471003672,0.716802603
66,bayu fikri ,"@gustavianooo jajal sek ae mas, kan mengko kenek dikaji meneh cocok opo orane metode parkir ngono iku",-5,Negative,namsor_api_2.0.30,LATIN,162b16df-c22f-4553-97bb-203718e7382e,bayu fikri ,male,-0.433605206,5.471003672,0.716802603
67,agungyuliyantonugroho,Sip...buat ngurangi pungli,0,Neutral,namsor_api_2.0.30,LATIN,c52be96a-491f-4bf5-b8d0-4a01e78e53fb,agungyuliyantonugroho,male,-0.365204493,3.345636448,0.682602246
68,naawae  0,"halahh paling engko yo waleh, gek mbalik parkir biasa neh ??????",-2,Negative,namsor_api_2.0.30,LATIN,caaf6ffd-7d85-47ad-bd2a-079ef2b47784,naawae  0,female,0.063950279,0.639911682,0.53197514
69,infoponorogo,@ramangabdulazis wealah nah ngono digenahne??,0,Neutral,namsor_api_2.0.30,LATIN,5bd0cf2f-e844-4ff3-a649-c367ed4d9fa6,infoponorogo,male,-0.377713264,3.954005691,0.688856632
70,agushd pg,@as37s7 gae latihan lurr.. Bn iso mumpuni sdm e,1,Positive,namsor_api_2.0.30,LATIN,10df2fdb-c5c0-429a-9903-78cde77e8925,agushd pg,male,-0.287730057,2.401635471,0.643865028
71,anjar ao,@infoponorogo huahuahuahahahaha??,0,Neutral,namsor_api_2.0.30,LATIN,f33f2ad9-cd59-4443-a8a7-6b558848867a,anjar ao,male,-0.62027329,6.775388277,0.810136645
72,r mas sai,"Parkir e ojo neng pinggir ndalan, tengah"" sisan gek dipalang ne ngunu ae genio??",0,Neutral,namsor_api_2.0.30,LATIN,de3d74ba-3257-44a2-b5c9-6011ef2dd0d8,r mas sai,male,-0.304557759,2.541220075,0.65227888
73,infoponorogo,@r.mas_sai lah lah lah??,0,Neutral,namsor_api_2.0.30,LATIN,0b90eaf0-0bea-4402-adcc-24b82f62b679,infoponorogo,male,-0.377713264,3.954005691,0.688856632
74,infoponorogo,@naawae_80 lhadalaaah??,6,Positive,namsor_api_2.0.30,LATIN,dd4da064-d268-4d25-bf7b-9414b66b5880,infoponorogo,male,-0.377713264,3.954005691,0.688856632
75,infoponorogo,@agush_zheng nah hehe??????,-1,Negative,namsor_api_2.0.30,LATIN,6d0eb91c-9325-4c1b-b952-ff77ce8e3e85,infoponorogo,male,-0.377713264,3.954005691,0.688856632
76,infoponorogo,@anjar_ao ????????????,-3,Negative,namsor_api_2.0.30,LATIN,a87e30d0-ea23-4172-b352-a172c5ae4003,infoponorogo,male,-0.377713264,3.954005691,0.688856632
77,infoponorogo,@alditawalida06_ kenal karo sing ndi??,1,Positive,namsor_api_2.0.30,LATIN,f7eb2bdd-d636-43d8-a7cb-c33bd0989fd9,infoponorogo,male,-0.377713264,3.954005691,0.688856632
78,r mas sai,"@infoponorogo wong mlio boro kok usel""n motor mobil sak wong"" e??",1,Positive,namsor_api_2.0.30,LATIN,6212ecc7-e440-4d9d-b145-5bcfce01f0b3,r mas sai,male,-0.304557759,2.541220075,0.65227888
79,jedar jedor,genah eeee min sg parkir mbayar piro...mudengku koq angel menn????,-1,Negative,namsor_api_2.0.30,LATIN,91b4538f-e6e3-4f89-9275-204d1f5bfd34,jedar jedor,male,-0.379976595,4.186699497,0.689988298
80,dikadap ,Ape parkir e dadak di ruet barang??,0,Neutral,namsor_api_2.0.30,LATIN,1bb6273a-43c0-41eb-a36b-3b41c6c88fbf,dikadap ,male,-0.3808084,4.287374483,0.6904042
81,rapi itsunana,@sangaji_w4 parkir e mbayar nopo mboten pak,0,Neutral,namsor_api_2.0.30,LATIN,7b79e974-4f5c-48d3-81d2-891b61e049e5,rapi itsunana,male,-0.352731197,3.105549505,0.676365599
82,dwiprakoso  ,@zazux_yeye setujuuuuu.hilangkan tukang parkir,-2,Negative,namsor_api_2.0.30,LATIN,87168d75-8b00-4c25-a9c2-84245fe62e78,dwiprakoso  ,male,-0.347836971,3.024126202,0.673918486
83,road nashwalk,Kesuwen ky pom gak kui ngko riii @nuret800,-4,Negative,namsor_api_2.0.30,LATIN,32e4d738-0b19-4b04-bb0f-75411a600d9a,road nashwalk,male,-0.868468877,9.013181697,0.934234439
84,ganalprayogo,@ramaakukuh jan ndak umom mas wkwkwk,0,Neutral,namsor_api_2.0.30,LATIN,dc13f845-b6ab-4073-b384-92f550b2caec,ganalprayogo,male,-0.364711477,3.335061198,0.682355738
85,muhammad kamilin,@infoponorogo slidikono min duite melbu nng ndi kae ??,-6,Negative,namsor_api_2.0.30,LATIN,ea6c0d52-d913-493d-b7ec-ab921ed5dcd8,muhammad kamilin,male,-0.92500917,10.99995005,0.962504585
86,baguzfernanda,E-warteg gk enek to min ??,-4,Negative,namsor_api_2.0.30,LATIN,7cb33890-70b5-4e35-968e-a690930147b6,baguzfernanda,female,0.063850925,0.635415048,0.531925463
87,sa muel    ,Terus nek arep mbayar angsuran harian piye bos.... Nek wis ngono kui...,0,Neutral,namsor_api_2.0.30,LATIN,becc10c3-963f-4a05-9e3f-2f1b78904536,sa muel    ,female,0.243047279,1.927670176,0.62152364
88,infoponorogo,@r.mas_sai ??piye ta kih,-4,Negative,namsor_api_2.0.30,LATIN,97d6b22d-ba9b-4598-a8be-e328149ec1bb,infoponorogo,male,-0.377713264,3.954005691,0.688856632
89,infoponorogo,@baguzfernanda byuuuh giniya?? kene apa enek lho eneme padang??,4,Positive,namsor_api_2.0.30,LATIN,d0960066-b70f-4398-87ca-041213a4d07a,infoponorogo,male,-0.377713264,3.954005691,0.688856632
90,infoponorogo,@sa_muel6236 lhaaaa??,4,Positive,namsor_api_2.0.30,LATIN,10f98a5b-918b-4228-b96b-d30793f29ca8,infoponorogo,male,-0.377713264,3.954005691,0.688856632
91,infoponorogo,@jedar_jedor sik aku urung parkir??,0,Neutral,namsor_api_2.0.30,LATIN,ee106ac7-b5ab-4fca-a4a7-55d38388d030,infoponorogo,male,-0.377713264,3.954005691,0.688856632
92,zazux yeye,@ shodaqoh ng masjid ae maton. Drpd shodaqoh tp grundel. Mslhnya brg gk oleh pakek parkir maton. Prayo malih grundel????,-14,Negative,namsor_api_2.0.30,LATIN,ce2a2ffe-0fb6-41d3-a1ce-5db15b92c3e0,zazux yeye,male,-0.082460823,1.178232065,0.541230411
93,zazux yeye,@ jane yo ngono karepku. Wong yo asline gk onok gunane. Parkir yo mapakne dw. Pas arep ngalih jaluk duit.,-5,Negative,namsor_api_2.0.30,LATIN,5745b06e-68a5-4523-97a1-69ad3ae71ea2,zazux yeye,male,-0.082460823,1.178232065,0.541230411
94,dwiprakoso  ,@zazux_yeye setujuuuu,-3,Negative,namsor_api_2.0.30,LATIN,e83d8201-2058-4587-9f3a-941ed96c3555,dwiprakoso  ,male,-0.347836971,3.024126202,0.673918486
95,anggamango,"Ruwet""... Kudune cah"" nom sing neng nduwur ki iso ngerteni kondisi masyarakat ponorogo nek kok terapne ngono kui iso mlaku pora.. Ojo gur golek rai dengan ide"" sing malah gawe ruwet... TULUNG OJO GOLEK RAI @infoponorogo",1,Positive,namsor_api_2.0.30,LATIN,485390c2-2c61-401d-b5fc-daaa0260efd2,anggamango,male,-0.29787491,2.483801168,0.648937455
96,fatria asmara ,"Tetep kudu cak cek, ben ga kesuwen nunggu ??",0,Neutral,namsor_api_2.0.30,LATIN,b5eee12a-aeaf-4623-abf9-44f6133105c2,fatria asmara ,female,0.05605377,0.297730932,0.528026885
97,agustk  ,Tukang Parkir sing ra enek karcise 2k trus ra gelem noto ruh ruh nagih auto ketar ketir,1,Positive,namsor_api_2.0.30,LATIN,2482df7e-e80d-4412-a539-232e0db90aed,agustk  ,male,-0.273125037,2.276458833,0.636562518
98,ajmln,"Penting gelem natakne motor, iso2 ngewei kerdus ben gak kepanasen motor e. Nek gur moro2 nagih duit tok gak gelem natakne motor, yo enak temen kerjone.",-3,Negative,namsor_api_2.0.30,LATIN,4cac06de-e112-4ce1-8d0b-cb36f9c709ff,ajmln,male,-0.379728884,4.158525836,0.689864442
99,zazux yeye,@dwiprakoso76 trus complain ng sopo ngene ki jal.... ??????,-2,Negative,namsor_api_2.0.30,LATIN,99c9ae96-5636-4fd9-b5dd-69e7cf2bae29,zazux yeye,male,-0.082460823,1.178232065,0.541230411
100, dianelss,Panggon e hospot ae buk ku bingong iki kok ndadak scan2 barang to minnn??,0,Neutral,namsor_api_2.0.30,LATIN,c16d997f-6160-4fb2-98c5-daac4379cb1e, dianelss,male,-0.05733876,0.351757382,0.52866938
101,ronaldandreass,Kesuen selak macet,2,Positive,namsor_api_2.0.30,LATIN,c2454406-8d66-4862-b44a-0ca8eb8d4be7,ronaldandreass,male,-0.298828105,2.491821824,0.649414053
102,muhamd maghfur,@zazux_yeye mugo2 alat e-parkir kui iso di setting (parkir kurang dari 10 menit gratis)...kejadian koyo awakmu ben ora terulang,0,Neutral,namsor_api_2.0.30,LATIN,c598bdcf-1014-47ef-88be-9863ec8f5825,muhamd maghfur,male,-0.901307564,9.720318937,0.950653782
103,teberagil,Ksuwen??,7,Positive,namsor_api_2.0.30,LATIN,af2a8d08-366e-4bca-9a85-bac3b6e5f53d,teberagil,male,-0.334488706,2.840406745,0.667244353
104,alvuadu,Ayok mas @gibran_rakabuming solo digae ngunu,-11,Negative,namsor_api_2.0.30,LATIN,6c291c70-11cf-4dd3-9436-241fc1b12c69,alvuadu,male,-0.242706898,1.924212877,0.621353449
105,defernandaa ,@zufaraa malih dadi selebgram ngene tibake,-8,Negative,namsor_api_2.0.30,LATIN,07e77be3-fffb-430c-bc54-622630e170f2,defernandaa ,male,-0.17531513,1.523725269,0.587657565
106,harymatika,"Juru parkir sing meresahkan yoiku bayar 2 ribu gak disusuki, bayar sewu gak diseberangne. Sakjane aturan parkir terbaru piro ya?",0,Neutral,namsor_api_2.0.30,LATIN,cff5a5f3-2775-417d-adf3-394b69c224c5,harymatika,female,0.283327031,2.367659147,0.641663516
107,maya mitha,"Halah, dalan ombo"" Digae sak arah mbasan wes sak arah mek gae parkerr.. Marai macet tok ??",-5,Negative,namsor_api_2.0.30,LATIN,184366de-88a3-410a-a3b5-7d993ddcd21d,maya mitha,female,0.796973132,8.190864927,0.898486566
108,dimasroby,"Mari iki tuku rokok utilan gae aplikasi, golek pangan wes angel, lakon dadak di ngel ngel , raine parkir wae dadak uthek hp, gathel po py",-1,Negative,namsor_api_2.0.30,LATIN,ca5e21b9-b55c-46ab-a20b-71c9c01a7229,dimasroby,male,-0.19235132,1.595900285,0.59617566
109,ajisetyowidodo,Mlebu toilet di gekne E-ngising,2,Positive,namsor_api_2.0.30,LATIN,9f411565-ec3e-4d01-8191-1b81d9bf0ea1,ajisetyowidodo,male,-0.368759699,3.425152875,0.684379849
110,ervhaa  ,Mempersulit tukang parkir yg sdh sepuh??,5,Positive,namsor_api_2.0.30,LATIN,5bac4a94-43b1-491b-8c89-eaeeb282411d,ervhaa  ,male,-0.225856346,1.763167776,0.612928173
