no,author,comment,apiVersion,script,id,name,likelyGender,genderScale,score,probabilityCalibrated,Sentiment_Score,Label
18,he rmawanandre,poin pertanggung 3 seg podo ae gak wani tanggung kur njaluk pajak ndak masuk akal,namsor_api_2.0.30,LATIN,69fba8d4-2997-4324-bf2d-8c48d4f3c4f2,he rmawanandre,male,-0.302863916,2.526399148,0.651431958,-6,Negative
19,richardimm ,jajal 10tahun kas tibake sdm e sek podo,namsor_api_2.0.30,LATIN,17959ec1-e8fc-4e4e-9493-6ee73b8dba36,richardimm ,male,-0.172776153,1.513252043,0.586388076,4,Positive
20,ndy miella ,suka konsep perlahanlahan ponorogo go digital,namsor_api_2.0.30,LATIN,58c02473-bdec-49fd-899c-500fd75113f8,ndy miella ,female,0.311947975,2.60817898,0.655973987,2,Positive
21,gustavianooo,si satir,namsor_api_2.0.30,LATIN,87bdd0c9-238f-4a15-8c2c-e4ddef0e5468,gustavianooo,male,-0.381472308,4.375463172,0.690736154,-4,Negative
22,gustavianooo,chuaks,namsor_api_2.0.30,LATIN,470c3191-3190-4a2a-a1f7-868649fec130,gustavianooo,male,-0.381472308,4.375463172,0.690736154,0,Neutral
23,vxniiiaa,mesakne jukir seng tuek gak paham gawe kui,namsor_api_2.0.30,LATIN,5019173c-14fd-45b5-9d55-12033c07c81a,vxniiiaa,female,0.066964923,0.779618656,0.533482462,1,Positive
24,ayupesek  ,baguslah jd gak merugikan masyarakat kecilâ gak sesuka hati kasih tarif udh peraturan yg tulis jalan2 berapa2 parkir motor mobilâ,namsor_api_2.0.30,LATIN,c0e611c4-a1f6-4aad-a7ce-1d107cb7c9f3,ayupesek  ,male,-0.35494172,3.144407821,0.67747086,2,Positive
25,angga rmx  ,layo ngono mbokan moso parker motor 2k,namsor_api_2.0.30,LATIN,c3d42592-87a4-4621-bc14-c1f8bf258b66,angga rmx  ,male,-0.363757761,3.314894769,0.681878881,1,Positive
26,ricki re,nguyoh ae 2000 ngasi parkir 1000,namsor_api_2.0.30,LATIN,5a12c91b-6307-4275-988a-d57aafeb073a,ricki re,female,0.361054223,3.259699994,0.680527112,-1,Negative
27,zuaruddin,dijak maju gk gelem ngko eparking wes jalan gnti komen mbok yo ngne ket biyen,namsor_api_2.0.30,LATIN,5d10a4bc-5c34-40ff-af71-5666affa1014,zuaruddin,male,-0.260366859,2.116762379,0.63018343,1,Positive
28,ricardo kneff,biasane emg gt mas yaa tau ponorogo terobosan bayare pake qris,namsor_api_2.0.30,LATIN,ad0444b9-a9ca-41ca-ab69-10728e9ea162,ricardo kneff,male,-0.805942792,8.309316538,0.902971396,-5,Negative
29,gustavianooo,gak penak langsung ngewehi sewu panggahan,namsor_api_2.0.30,LATIN,b73d6a48-ccb9-4b50-83a0-0412952549ee,gustavianooo,male,-0.381472308,4.375463172,0.690736154,6,Positive
30,wildanhikmawan ,berdasarkan keputusan gubernur jawa timur nomor 188889kpts0132022 upah minimum kabupatenkota jawa timur 2023 upah minimum kabupaten ponorogo 2023 rp214970945 akeh bayaran sg sak ngisore iku biaya hidup e ng ponorogo jan tenan fasilitas sih apik yo iku pendapatan masyarakat e ben iso munggah iku kudu wehi solusi sek moco enek komen sg kecepeten 10 setuju iku inarat ne buta map,namsor_api_2.0.30,LATIN,75fbd90d-6bd4-4f4b-a163-7e8a6a5cbaec,wildanhikmawan ,male,-0.372161057,3.537772533,0.686080529,-5,Negative
31,wildanhikmawan ,setujuu,namsor_api_2.0.30,LATIN,649574f5-0895-4c23-baec-2ef1de7d1149,wildanhikmawan ,male,-0.372161057,3.537772533,0.686080529,1,Positive
32,inutee fey,setuju poll min ben tukang parkir i ogak sak kuarepe dw tandang wegah bayar 2000 jane ra sepiro sih lek nyatane kendaraan e awakdewe ra diamankan ki ngwei duit parkir ki yo marai mangkel,namsor_api_2.0.30,LATIN,bb326443-aabd-48aa-98ce-312cc8863804,inutee fey,female,0.062857561,0.590788585,0.53142878,-13,Negative
33,dhikakwardani,nggih leres setuju,namsor_api_2.0.30,LATIN,4f7aebfe-e23d-494b-89c4-b8cc5b418c96,dhikakwardani,male,-0.070558383,0.956339702,0.535279192,1,Positive
34,denyamalia,mening iki minjelas piro2 ne tarife la mso diweii sewu lambene mecocong ae,namsor_api_2.0.30,LATIN,b0b0d82b-6169-4540-a5ff-42721f398177,denyamalia,female,0.160691059,1.46433474,0.58034553,-6,Negative
35,off acc0unt ,1 arah sempit ponorogo hebat,namsor_api_2.0.30,LATIN,f478554b-de4f-4d8a-b9d4-ed2c88e82619,off acc0unt ,male,-0.636011802,6.879160975,0.818005901,-2,Negative
36,riyanatkinson,oh iya yg pake qris jakarta semoga aja ponorogo pake qris,namsor_api_2.0.30,LATIN,3fff955d-1f3a-43e0-8b4f-e7a0ba399a63,riyanatkinson,male,-0.354070652,3.128929976,0.677035326,0,Neutral
37,ramangabdulazis,i sdm rendah gawe ngonokan iki contohe,namsor_api_2.0.30,LATIN,f45c49cd-1ad8-4af8-8e7d-d124ce953904,ramangabdulazis,male,-0.336565729,2.864406296,0.668282864,-2,Negative
38,cntrmo,ngangge diamond mas,namsor_api_2.0.30,LATIN,c4872180-a3b9-40f1-b0ee-a017f6a8ec8a,cntrmo,male,-0.234317413,1.841678355,0.617158706,3,Positive
39,ricardo kneff,masookk,namsor_api_2.0.30,LATIN,42664c8d-a94e-4a36-9dcf-8715c07482ff,ricardo kneff,male,-0.805942792,8.309316538,0.902971396,0,Neutral
40,teguh prasetyo   ,sing dek mben nggremeng parkir larangkui lo ws kabulne ben reti nek parkir gur sewu,namsor_api_2.0.30,LATIN,3385c815-8db7-4b53-aacd-a85361e85b6d,teguh prasetyo   ,male,-0.535811014,6.316500965,0.767905507,2,Positive
41,zahira belva,kasih 1rb koin ngomel2 lumayan tuabiasa kalo tukang parkir tua kasih,namsor_api_2.0.30,LATIN,9d5e86f1-dbdd-467f-a5e0-9e7e45fddbb7,zahira belva,female,0.891976464,9.461405514,0.945988232,-12,Negative
42,ifthon  ,bagus positif,namsor_api_2.0.30,LATIN,f0a374ac-dc75-4945-8644-df40a1e4320c,ifthon  ,male,-0.348153864,3.029219462,0.674076932,2,Positive
43,friska ioo,parkir neng etan alonâ² ki maeng dijaluki 2000 sikan min,namsor_api_2.0.30,LATIN,26841232-94e1-4be5-9daa-b0136cd60dcb,friska ioo,female,0.572519875,6.513628913,0.786259937,1,Positive
44,alirahmanta,taman jalan mengganggu bahu jalan parkir jalan terwagu,namsor_api_2.0.30,LATIN,1e4b9b71-ad31-4774-a707-cf938b521c30,alirahmanta,female,0.209403283,1.671775715,0.604701642,2,Positive
45,dimsro,salfok karo tulisan parkir penitipan trus nk motore ilang karcis parkire gratis,namsor_api_2.0.30,LATIN,4cf173b7-d9e9-449e-af32-368e4621f7c6,dimsro,male,-0.373286975,3.609888882,0.686643487,2,Positive
46,shinta anf,iyo yaa mba tuntut serba gaji guyonan tuntut serba canggih kaya raya miskin menderita umr aja ga imbangkan gaji pas pasan bener ncen mending capek kerja capek cari kerja yo mengkis nek kerja gaji dibawah ratarata semangat pejuang rupiah,namsor_api_2.0.30,LATIN,db1e791b-ea1f-417e-9669-d45c99e24391,shinta anf,female,0.5314451,6.277076579,0.76572255,-7,Negative
47,roufyasmien  ,bagus menghindari parkir liar bayar liar,namsor_api_2.0.30,LATIN,8356c818-2d7f-4190-bbfa-b18d19ed16ae,roufyasmien  ,male,-0.375721831,3.785094204,0.687860915,-1,Negative
48,andry agustya,bayar pake cash pake emoney kedepannya,namsor_api_2.0.30,LATIN,bc3ca49a-e6f9-40ae-9ed1-92752f60f3df,andry agustya,male,-0.375429274,3.762430388,0.687714637,0,Neutral
49,srikaya mas,setuju,namsor_api_2.0.30,LATIN,06be7d7c-62e7-4d86-8e0a-e64bc55339a4,srikaya mas,female,0.143373453,1.396736059,0.571686727,1,Positive
50,erda kc,up,namsor_api_2.0.30,LATIN,9414240e-4cec-4d5e-a934-c102281e150d,erda kc,female,0.435238332,5.503229161,0.717619166,0,Neutral
51,ricardo kneff,bayare pake opo min tf opo pake emoney,namsor_api_2.0.30,LATIN,88eac4e1-e3c3-4b2a-a6a2-8aa6693a898c,ricardo kneff,male,-0.805942792,8.309316538,0.902971396,-2,Negative
52,ambonzxz,payung ngarepe smp6 kae iso nganti dicem,namsor_api_2.0.30,LATIN,231a5edb-80d8-4d69-94fe-6f10b0382b06,ambonzxz,male,-0.153432292,1.435657845,0.576716146,0,Neutral
53,jalanpulangq,digaji rakyat difasilitasi mewah rakyatmaka bekerjalah melayani rakyat permudahlah urusan rakyat dg kemampuan yg dimilikidg tehnologi yg canggihsesuaikan gaji fasilitas yg pejabat nikmati dg kemudahan fasilitas rakyat mudah adil,namsor_api_2.0.30,LATIN,d3aea445-314b-4685-9671-945faf2fa368,jalanpulangq,male,-0.290658878,2.424780749,0.645329439,0,Neutral
54,saidrosyadii,sipp maju,namsor_api_2.0.30,LATIN,7a45aa27-7293-4d7c-8bb5-fff94aaf024c,saidrosyadii,male,-0.072222734,1.042999032,0.536111367,0,Neutral
55,zumaroqoirul,jajal admine moro gawe video singkat pembayaran e parking ben kabeh ruh,namsor_api_2.0.30,LATIN,8acc4ab7-00b8-4064-8fcc-d896ab9d879b,zumaroqoirul,male,-0.308505133,2.57650573,0.654252566,-5,Negative
57,ponorogo update,,namsor_api_2.0.30,LATIN,d164edf8-75f9-4b7f-9339-a35772d0f3a5,ponorogo update,male,-0.37191999,3.522950244,0.685959995,0,Neutral
58,chynsd ,sisan dalane raya didandani kecamatanâ² pelosok,namsor_api_2.0.30,LATIN,f77f86d6-ad33-4e95-95fc-b491ff4b3b0b,chynsd ,male,-0.270209937,2.238125123,0.635104968,-5,Negative
59,adibaskome,seumpama mertamu masuk gang parkirnya didepan toko biaya parkir,namsor_api_2.0.30,LATIN,490d4c5d-e20f-404d-9b71-9e23dfefc8b5,adibaskome,male,-0.073545045,1.114495651,0.536772522,-5,Negative
60,gustavianooo,aneh aneh ae genah sdm e sek koyok ngene og kecepeten 10 taun,namsor_api_2.0.30,LATIN,8b431d37-0975-435f-bf13-8b236f646625,gustavianooo,male,-0.381472308,4.375463172,0.690736154,0,Neutral
61,mrluckym n,panggah mawut,namsor_api_2.0.30,LATIN,350982b7-1131-441e-9564-90f21cc24294,mrluckym n,male,-0.073388915,1.105920637,0.536694458,0,Neutral
62,frida jemprit,alhamdullilah ponorogo maju mending kasih uang 2000 kasih kembalian,namsor_api_2.0.30,LATIN,edc48f43-2b69-4022-a05f-c3410b94a4c7,frida jemprit,female,0.487838281,5.950353019,0.74391914,5,Positive
63,justt ndyy,kalo pake motor mending bawa masuk gang ae kalo pake mobil ya resikonya parkir diliat gang,namsor_api_2.0.30,LATIN,5af130eb-d7fe-4946-939b-bf65a4e1c9ac,justt ndyy,male,-0.057585823,0.362201066,0.528792912,-11,Negative
64,yoestiagustina,yuk yuuk,namsor_api_2.0.30,LATIN,8772c8ac-0750-4446-8c41-7e6f6b320e33,yoestiagustina,female,0.144117654,1.399584352,0.572058827,4,Positive
65,bayu fikri ,ketok e gawe kartu sih koyo mlebu nek tol,namsor_api_2.0.30,LATIN,c2f36ead-a223-42bf-be39-4135db2f8b92,bayu fikri ,male,-0.433605206,5.471003672,0.716802603,-6,Negative
66,bayu fikri ,jajal sek ae mas mengko kenek dikaji meneh cocok opo orane metode parkir ngono iku,namsor_api_2.0.30,LATIN,162b16df-c22f-4553-97bb-203718e7382e,bayu fikri ,male,-0.433605206,5.471003672,0.716802603,3,Positive
67,agungyuliyantonugroho,sipbuat ngurangi pungli,namsor_api_2.0.30,LATIN,c52be96a-491f-4bf5-b8d0-4a01e78e53fb,agungyuliyantonugroho,male,-0.365204493,3.345636448,0.682602246,0,Neutral
68,naawae  0,halahh engko yo waleh gek mbalik parkir neh,namsor_api_2.0.30,LATIN,caaf6ffd-7d85-47ad-bd2a-079ef2b47784,naawae  0,female,0.063950279,0.639911682,0.53197514,0,Neutral
69,infoponorogo,wealah ngono digenahne,namsor_api_2.0.30,LATIN,5bd0cf2f-e844-4ff3-a649-c367ed4d9fa6,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
70,agushd pg,gae latihan lurr bn iso mumpuni sdm e,namsor_api_2.0.30,LATIN,10df2fdb-c5c0-429a-9903-78cde77e8925,agushd pg,male,-0.287730057,2.401635471,0.643865028,-2,Negative
71,anjar ao,huahuahuahahahaha,namsor_api_2.0.30,LATIN,f33f2ad9-cd59-4443-a8a7-6b558848867a,anjar ao,male,-0.62027329,6.775388277,0.810136645,0,Neutral
72,r mas sai,parkir e ojo neng pinggir ndalan sisan gek dipalang ne ngunu ae genio,namsor_api_2.0.30,LATIN,de3d74ba-3257-44a2-b5c9-6011ef2dd0d8,r mas sai,male,-0.304557759,2.541220075,0.65227888,-3,Negative
73,infoponorogo,,namsor_api_2.0.30,LATIN,0b90eaf0-0bea-4402-adcc-24b82f62b679,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
74,infoponorogo,lhadalaaah,namsor_api_2.0.30,LATIN,dd4da064-d268-4d25-bf7b-9414b66b5880,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
75,infoponorogo,hehe,namsor_api_2.0.30,LATIN,6d0eb91c-9325-4c1b-b952-ff77ce8e3e85,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
77,infoponorogo,kenal karo sing ndi,namsor_api_2.0.30,LATIN,f7eb2bdd-d636-43d8-a7cb-c33bd0989fd9,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
78,r mas sai,mlio boro useln motor mobil sak e,namsor_api_2.0.30,LATIN,6212ecc7-e440-4d9d-b145-5bcfce01f0b3,r mas sai,male,-0.304557759,2.541220075,0.65227888,0,Neutral
79,jedar jedor,genah eeee min sg parkir mbayar piromudengku koq angel menn,namsor_api_2.0.30,LATIN,91b4538f-e6e3-4f89-9275-204d1f5bfd34,jedar jedor,male,-0.379976595,4.186699497,0.689988298,1,Positive
80,dikadap ,ape parkir e dadak ruet barang,namsor_api_2.0.30,LATIN,1bb6273a-43c0-41eb-a36b-3b41c6c88fbf,dikadap ,male,-0.3808084,4.287374483,0.6904042,-3,Negative
81,rapi itsunana,parkir e mbayar nopo mboten,namsor_api_2.0.30,LATIN,7b79e974-4f5c-48d3-81d2-891b61e049e5,rapi itsunana,male,-0.352731197,3.105549505,0.676365599,-2,Negative
82,dwiprakoso  ,setujuuuuuâ hilangkan tukang parkir,namsor_api_2.0.30,LATIN,87168d75-8b00-4c25-a9c2-84245fe62e78,dwiprakoso  ,male,-0.347836971,3.024126202,0.673918486,-1,Negative
83,road nashwalk,kesuwen ky pom gak kui ngko riii,namsor_api_2.0.30,LATIN,32e4d738-0b19-4b04-bb0f-75411a600d9a,road nashwalk,male,-0.868468877,9.013181697,0.934234439,0,Neutral
84,ganalprayogo,jan ndak umom mas wkwkwk,namsor_api_2.0.30,LATIN,dc13f845-b6ab-4073-b384-92f550b2caec,ganalprayogo,male,-0.364711477,3.335061198,0.682355738,4,Positive
85,muhammad kamilin,slidikono min duite melbu nng ndi kae,namsor_api_2.0.30,LATIN,ea6c0d52-d913-493d-b7ec-ab921ed5dcd8,muhammad kamilin,male,-0.92500917,10.99995005,0.962504585,-3,Negative
86,baguzfernanda,ewarteg gk enek to min,namsor_api_2.0.30,LATIN,7cb33890-70b5-4e35-968e-a690930147b6,baguzfernanda,female,0.063850925,0.635415048,0.531925463,0,Neutral
87,sa muel    ,nek arep mbayar angsuran harian piye bos nek wis ngono kui,namsor_api_2.0.30,LATIN,becc10c3-963f-4a05-9e3f-2f1b78904536,sa muel    ,female,0.243047279,1.927670176,0.62152364,3,Positive
88,infoponorogo,piye ta kih,namsor_api_2.0.30,LATIN,97d6b22d-ba9b-4598-a8be-e328149ec1bb,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
89,infoponorogo,byuuuh giniya kene enek lho eneme padang,namsor_api_2.0.30,LATIN,d0960066-b70f-4398-87ca-041213a4d07a,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
90,infoponorogo,lhaaaa,namsor_api_2.0.30,LATIN,10f98a5b-918b-4228-b96b-d30793f29ca8,infoponorogo,male,-0.377713264,3.954005691,0.688856632,4,Positive
91,infoponorogo,sik urung parkir,namsor_api_2.0.30,LATIN,ee106ac7-b5ab-4fca-a4a7-55d38388d030,infoponorogo,male,-0.377713264,3.954005691,0.688856632,-1,Negative
92,zazux yeye,shodaqoh ng masjid ae maton drpd shodaqoh tp grundel mslhnya brg gk pakek parkir maton prayo malih grundel,namsor_api_2.0.30,LATIN,ce2a2ffe-0fb6-41d3-a1ce-5db15b92c3e0,zazux yeye,male,-0.082460823,1.178232065,0.541230411,3,Positive
93,zazux yeye,jane yo ngono karepku yo asline gk onok gunane parkir yo mapakne dw pas arep ngalih jaluk duit,namsor_api_2.0.30,LATIN,5745b06e-68a5-4523-97a1-69ad3ae71ea2,zazux yeye,male,-0.082460823,1.178232065,0.541230411,7,Positive
94,dwiprakoso  ,setujuuuu,namsor_api_2.0.30,LATIN,e83d8201-2058-4587-9f3a-941ed96c3555,dwiprakoso  ,male,-0.347836971,3.024126202,0.673918486,1,Positive
95,anggamango,ruwet kudune cah nom sing neng nduwur ki iso ngerteni kondisi masyarakat ponorogo nek terapne ngono kui iso mlaku pora ojo gur golek rai ide sing gawe ruwet tulung ojo golek rai,namsor_api_2.0.30,LATIN,485390c2-2c61-401d-b5fc-daaa0260efd2,anggamango,male,-0.29787491,2.483801168,0.648937455,-6,Negative
96,fatria asmara ,tetep kudu cak cek ben ga kesuwen nunggu,namsor_api_2.0.30,LATIN,b5eee12a-aeaf-4623-abf9-44f6133105c2,fatria asmara ,female,0.05605377,0.297730932,0.528026885,-3,Negative
97,agustk  ,tukang parkir sing ra enek karcise 2k trus ra gelem noto ruh ruh nagih auto ketar ketir,namsor_api_2.0.30,LATIN,2482df7e-e80d-4412-a539-232e0db90aed,agustk  ,male,-0.273125037,2.276458833,0.636562518,-13,Negative
98,ajmln,gelem natakne motor iso2 ngewei kerdus ben gak kepanasen motor e nek gur moro2 nagih duit tok gak gelem natakne motor yo enak temen kerjone,namsor_api_2.0.30,LATIN,4cac06de-e112-4ce1-8d0b-cb36f9c709ff,ajmln,male,-0.379728884,4.158525836,0.689864442,4,Positive
99,zazux yeye,trus complain ng sopo ngene ki jal,namsor_api_2.0.30,LATIN,99c9ae96-5636-4fd9-b5dd-69e7cf2bae29,zazux yeye,male,-0.082460823,1.178232065,0.541230411,-1,Negative
100, dianelss,panggon e hospot ae buk ku bingong iki ndadak scan2 barang to minnn,namsor_api_2.0.30,LATIN,c16d997f-6160-4fb2-98c5-daac4379cb1e, dianelss,male,-0.05733876,0.351757382,0.52866938,-4,Negative
101,ronaldandreass,kesuen selak macet,namsor_api_2.0.30,LATIN,c2454406-8d66-4862-b44a-0ca8eb8d4be7,ronaldandreass,male,-0.298828105,2.491821824,0.649414053,-3,Negative
102,muhamd maghfur,mugo2 alat eparkir kui iso setting parkir 10 menit gratiskejadian koyo awakmu ben ora terulang,namsor_api_2.0.30,LATIN,c598bdcf-1014-47ef-88be-9863ec8f5825,muhamd maghfur,male,-0.901307564,9.720318937,0.950653782,6,Positive
103,teberagil,ksuwen,namsor_api_2.0.30,LATIN,af2a8d08-366e-4bca-9a85-bac3b6e5f53d,teberagil,male,-0.334488706,2.840406745,0.667244353,0,Neutral
104,alvuadu,ayok mas solo digae ngunu,namsor_api_2.0.30,LATIN,6c291c70-11cf-4dd3-9436-241fc1b12c69,alvuadu,male,-0.242706898,1.924212877,0.621353449,6,Positive
105,defernandaa ,malih dadi selebgram ngene tibake,namsor_api_2.0.30,LATIN,07e77be3-fffb-430c-bc54-622630e170f2,defernandaa ,male,-0.17531513,1.523725269,0.587657565,0,Neutral
106,harymatika,juru parkir sing meresahkan yoiku bayar 2 ribu gak disusuki bayar sewu gak diseberangne sakjane aturan parkir terbaru piro ya,namsor_api_2.0.30,LATIN,cff5a5f3-2775-417d-adf3-394b69c224c5,harymatika,female,0.283327031,2.367659147,0.641663516,4,Positive
107,maya mitha,halah dalan ombo digae sak arah mbasan wes sak arah mek gae parkerr marai macet tok,namsor_api_2.0.30,LATIN,184366de-88a3-410a-a3b5-7d993ddcd21d,maya mitha,female,0.796973132,8.190864927,0.898486566,-3,Negative
108,dimasroby,mari iki tuku rokok utilan gae aplikasi golek pangan wes angel lakon dadak ngel ngel raine parkir wae dadak uthek hp gathel po py,namsor_api_2.0.30,LATIN,ca5e21b9-b55c-46ab-a20b-71c9c01a7229,dimasroby,male,-0.19235132,1.595900285,0.59617566,-15,Negative
109,ajisetyowidodo,mlebu toilet gekne engising,namsor_api_2.0.30,LATIN,9f411565-ec3e-4d01-8191-1b81d9bf0ea1,ajisetyowidodo,male,-0.368759699,3.425152875,0.684379849,-2,Negative
110,ervhaa  ,mempersulit tukang parkir yg sdh sepuh,namsor_api_2.0.30,LATIN,5bac4a94-43b1-491b-8c89-eaeeb282411d,ervhaa  ,male,-0.225856346,1.763167776,0.612928173,-4,Negative
111,dickymaulana mtwk,pergi kang parkir,namsor_api_2.0.30,LATIN,41b6df2f-011e-4876-9d93-7e51f1c36123,dickymaulana mtwk,female,0.215778957,1.701181006,0.607889478,-3,Negative
112,info skandal selebgram,kesuwen dulung i 2 ewu e gek langsung cus,namsor_api_2.0.30,LATIN,6ef10bed-d8d1-4529-ac4e-6df7d1228527,info skandal selebgram,male,-0.537588794,6.333008884,0.768794397,3,Positive
113,pakcikpower  ,pokok padamu pakbu semerintah arep digawe pie ae sing ngene iki ttep manot,namsor_api_2.0.30,LATIN,556ecbe4-6e5c-44d3-b18a-e9e6f4a28b87,pakcikpower  ,male,-0.394997966,4.760456254,0.697498983,0,Neutral
114,erda kc,siji d kon ngno liane do ngaleh,namsor_api_2.0.30,LATIN,aa6c9ffb-4c9d-4c35-814b-de08a6ac3e6d,erda kc,female,0.435238332,5.503229161,0.717619166,-5,Negative
115,khapika chu,poneh montor dipapane ora agek didelehne wes diparani tukang parkir nyebrangne yo ora biangeten,namsor_api_2.0.30,LATIN,922d6ba1-5e7d-48cb-8609-3f421c7e6786,khapika chu,female,0.24322069,1.929434964,0.621610345,0,Neutral
116,zazux yeye,haha kandani kdg maune gk onok wayah arep ngalih muncul,namsor_api_2.0.30,LATIN,4b4c6b18-5283-431d-bc73-1a8e7cd108df,zazux yeye,male,-0.082460823,1.178232065,0.541230411,0,Neutral
117,zazux yeye,yo mugo ae la nk minimal 10mnit ngono yo gpopobareng 5mnit ae msok yo kon byr parkir ng surya bayar parkir ng kasir hdeh,namsor_api_2.0.30,LATIN,45629870-3830-43c6-b546-64001989c2f5,zazux yeye,male,-0.082460823,1.178232065,0.541230411,-10,Negative
118,hary kurni ,setujjuuuu polll drpada baku hantam trus kro tukang parkirpas teko g enek sg nyambut pas arep muleh tukang parkir pdo kruyukâ² teko kyo laronn,namsor_api_2.0.30,LATIN,6dacc200-fff3-4363-abcf-f299ae93bb25,hary kurni ,male,-0.380558484,4.256078472,0.690279242,0,Neutral
119,ramangabdulazis,ribet cuk,namsor_api_2.0.30,LATIN,903b4749-f36a-4843-8fc4-ed63f0d1b97e,ramangabdulazis,male,-0.336565729,2.864406296,0.668282864,-5,Negative
120,dimasak ,krungu krungu pasar lanang iku ameh digae parkiran mobil ngono min jane cocok lo kui,namsor_api_2.0.30,LATIN,640f3af0-5c69-4af8-bece-ff12565bff7f,dimasak ,male,-0.378548913,4.033957528,0.689274457,1,Positive
121,infoponorogo,iya sih piye ya kak bingungne terah gawa kanca wae kak kon nek motor,namsor_api_2.0.30,LATIN,7f065a99-9afa-443b-88ba-e6aaa19a4c1f,infoponorogo,male,-0.377713264,3.954005691,0.688856632,1,Positive
122,infoponorogo,ndaraku ya ngono,namsor_api_2.0.30,LATIN,bcc60181-89da-4941-af97-6005da85c79c,infoponorogo,male,-0.377713264,3.954005691,0.688856632,0,Neutral
123,infoponorogo,sing durung kulina,namsor_api_2.0.30,LATIN,796c7ae2-84c8-42ed-ba02-b43fe161341f,infoponorogo,male,-0.377713264,3.954005691,0.688856632,3,Positive
