"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","replyCount","replyToCid","title","type","videoId","voteCount"
"@rggaming4673","false","Ugy7g80b1fNuB5X_N3V4AaABAg","kebnyakan tukang parkir ponorogo. setiap masuk toko ada tukang parkir..jalan umum d buat parkir jadi nya makan jalan hampir separo..","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@rggaming4673","false","UgyKTOAaOpsoBQZGziN4AaABAg","kebnyakan tukang parkir ponorogo. setiap masuk toko ada tukang parkir..jalan umum d buat parkir jadi nya makan jalan hampir separo.","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@nanangnanang4542","false","UgzDip3w1vdbigrGh8d4AaABAg","Parkir sekarang pakai digital setiap petugas untuk mengurangi jukir liar sangat setuju berdasarkan perda 2024","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@adolfbastian661","false","UgzNYEIDUJBeQL4TDtd4AaABAg.9q34QRUAyvb9q34zaguOH4","Dan semua dinas pemda hrs ""dipelototin"" krn pemasukan pendapatan daerah rawan dikorupsi👍","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0","UgzNYEIDUJBeQL4TDtd4AaABAg","Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","reply","5if-B19miB0","0"
"@indonesiahebat3936","false","UgxCe3NXsnbp8kfZYxV4AaABAg.9q32t19IqlF9q487qWgN1K","Semoga pengelola aplikasi dibayar tidak kabur alasan juga korban, ternyata tidak dianggarkan .","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0","UgxCe3NXsnbp8kfZYxV4AaABAg","Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","reply","5if-B19miB0","0"
"@Reni-qm5ol","false","Ugy0Tsd0XJPWr3nZKFh4AaABAg","Aku mendukung mu pal E parking","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@afendibekicot4685","false","UgxXI0RtN-ma32v2KPp4AaABAg","Bukan rumit kali , ytta 😂","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@unboxingapapun6192","false","UgwTmKnjVKjmilr0btZ4AaABAg","Untuk menjadi maju maka manusia hanya butuh adaptasi","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@ahmadmuthi296","false","UgzK_8FfGhT02wQtwpV4AaABAg","Alasanmu ae pak","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@suhartopwr4490","false","UgwlCa7Q3NxdZsfQNv14AaABAg","Pasti  rumit  parkir kok pakai sistem  elektronik  urus  para  korupsi  yg jumlahnya besar 2  parkir paling  2000 motor  mobil  50  000 ke bawah","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@adityapratama1236","false","UgyPzNU-2ZXbWvSoENV4AaABAg","main idea is good, but the device needs more efficient","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","2",,"Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","comment","5if-B19miB0","0"
"@adityapratama1236","false","UgyPzNU-2ZXbWvSoENV4AaABAg.9q32T_jVON99rmTk2ml_xO"," @user-nk8zu2no5y  blm prnah liat sistem parkiran di mall kah?","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0","UgyPzNU-2ZXbWvSoENV4AaABAg","Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","reply","5if-B19miB0","0"
"@user-nk8zu2no5y","false","UgyPzNU-2ZXbWvSoENV4AaABAg.9q32T_jVON99rmTLziaF8p","what do u mean by more efficient ??  is it too heavy ??? they want easy life","30","false","https://youtu.be/5if-B19miB0?si=mO7CWCNixRL8D0ez","0","UgyPzNU-2ZXbWvSoENV4AaABAg","Uji Coba E-Parking Juru Parkir di Ponorogo Keluhkan Rumit","reply","5if-B19miB0","0"
